iso3,year,pop,pop_15_64_pct,pop_65_plus_pct,IMR,urban,LA,PSR
CUW,2010,148703.0,67.558755473964,11.9356319201423,11.6,89.905,444.0,5.660257950813094
CYP,1990,788351.0,65.4799483224784,9.67222066834485,9.9,66.776,9240.0,6.769898099697057
CYP,1995,862695.0,65.6531566776207,9.74828879267876,8.0,68.038,9240.0,6.734839116269111
CYP,2000,947667.0,67.7746337978603,9.94469045808837,5.8,68.648,9240.0,6.815157704857147
CYP,2005,1036151.0,69.7420213163809,10.3365193217401,3.9,68.268,9240.0,6.747147578943449
CYP,2010,1127816.0,71.6949964821405,11.3182862637672,2.8,67.551,9240.0,6.334439226162265
CZE,1990,10333355.0,66.0204629426639,12.5582891108838,10.3,75.22,77210.0,5.257122396190611
CZE,1995,10327253.0,68.1681102458606,13.1592456101689,7.1,74.643,77210.0,5.180244541767896
CZE,2000,10255063.0,69.7775985551741,13.7609941540348,4.5,73.988,77210.0,5.0706800521904825
CZE,2005,10211216.0,71.2328489290407,14.0575832897421,3.5,73.602,77210.0,5.06721870045897
CZE,2010,10474410.0,70.1383514992853,15.4590024087743,2.7,73.255,77210.0,4.537055473869118
DEU,1990,79433029.0,69.0458972861167,14.8673064129016,7.0,73.118,349130.0,4.644143018818784
DEU,1995,81678051.0,68.3513415565947,15.3977997568773,5.3,73.922,349100.0,4.43903302003042
DEU,2000,82211508.0,67.885670642617,16.4607313825805,4.4,74.965,348950.0,4.12409807710347
DEU,2005,82469422.0,66.6481280445416,18.8586850514415,3.9,75.98,348760.0,3.5340813987159305
DEU,2010,81776930.0,65.7386429233445,20.5654453486144,3.5,76.966,348570.0,3.1965581979372817
DJI,1990,579538.0,53.2625528761247,2.99358886424284,88.2,75.957,23180.0,17.792207043633645
DJI,1995,633074.0,54.3388292679845,3.12238379715484,85.0,76.3,23180.0,17.402994890474005
DJI,2000,747318.0,57.2685541706782,3.1642465695684,80.9,76.532,23180.0,18.098638305070384
DJI,2005,839167.0,58.20587558853,3.36774444180956,73.3,76.761,23180.0,17.28334099996458
DJI,2010,930251.0,59.9689438823802,3.66669658689075,64.9,76.999,23180.0,16.35503305530717
DNK,1990,5140939.0,67.3525318394678,15.5874849859707,7.3,84.843,40000.0,4.320936437153749
DNK,1995,5233373.0,67.3743063729612,15.2319160157146,5.4,84.979,40000.0,4.423232527244234
DNK,2000,5339616.0,66.6824666783466,14.8179045532594,4.7,85.1,40000.0,4.500127966047594
DNK,2005,5419432.0,66.1417096183828,15.0928272794378,4.1,85.856,40000.0,4.382327339589521
DNK,2010,5547683.0,65.4503784115053,16.5574489274022,3.5,86.795,40000.0,3.952926486349381
DOM,1990,7151166.0,57.4227655617815,3.51664354572692,48.0,55.226,48310.0,16.3288558578978
DOM,1995,7888115.0,58.806136903041,3.86657624371753,39.5,57.598,48310.0,15.208839344262271
DOM,2000,8584190.0,60.3940907645334,4.28668866835427,33.6,61.753,48310.0,14.088751350286346
DOM,2005,9225034.0,62.063549034074,4.72540805811664,31.2,67.37,48310.0,13.134008379968368
DOM,2010,9820175.0,64.0677431919492,5.06185989557213,30.7,73.753,48310.0,12.656957030358065
DZA,1990,25375810.0,54.7842196958442,3.23175890740039,39.8,52.085,2381740.0,16.95182755446084
DZA,1995,28470191.0,57.1632757427457,3.75329768165759,38.8,55.997,2381740.0,15.230147084283589
DZA,2000,30903893.0,61.9114210289206,4.3831209935771,34.7,59.919,2381740.0,14.124962810664782
DZA,2005,33109249.0,66.250126966033,4.75825199176218,29.0,63.83,2381740.0,13.923206900502509
